Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Realtor,Código,Región,Nombre comuna,Número de personas según proyecciones de población (*),Número de personas en situación de pobreza por ingresos (**),Porcentaje de personas en situación de pobreza por ingresos 2022,"Límite inferior
 (***)",Límite superior,Presencia de la comuna en la muestra Casen,"Tipo de estimación SAE 
(****)"
76848270,2130.0,93717.0,La Pintana,Vendeampliacasalapintana,3.0,1.0,84.0,100.0,,14516099,,,,,,,,,,,
268788550,7450.0,327791.0,Pudahuel,Av.DelCanal21300,4.0,3.0,120.0,244.0,2.0,14883589,Promoción Inmobiliaria,,,,,,,,,,
270592500,7500.0,329991.0,Buin,BarrioAltoSacramentoBuin,4.0,3.0,128.0,272.0,2.0,7280818,,,,,,,,,,,
65000000,1802.0,79268.0,Puente Alto,riofrio01610,2.0,1.0,25.0,103.0,2.0,14872981,Mi Llave,,,,,,,,,,
216474000,6000.0,263993.0,Quilicura,Hermosacasaconterminacionesdeprimernivelencondominio,3.0,3.0,85.0,130.0,,14871607,Brokers Inmobiliarios,,,,,,,,,,
595303500,16500.0,725980.0,Lo Barnechea,EnCondominio/CalleParque/ValleLaDehesa,4.0,3.0,140.0,400.0,2.0,14870576,Sucursal Cantagallo,,,,,,,,,,
696324700,19300.0,849176.0,Lo Barnechea,CaminoTurístico-Mampato,5.0,4.0,210.0,340.0,,14870471,Viel Propiedades dos Ltda.,,,,,,,,,,
179673420,4980.0,219114.0,San Miguel,CuartaTransversal,3.0,2.0,195.0,245.0,1.0,14869269,Unne,,,,,,,,,,
645814100,17900.0,787578.0,Colina,Lopinto300colina,5.0,4.0,5002.0,5002.0,10.0,14868612,Easyprop,,,,,,,,,,
826209100,22900.0,1007572.0,Las Condes,RicardoCox/IsabellaCatólica,8.0,5.0,203.0,800.0,5.0,14868091,Easyprop,,,,,,,,,,
145000000,4019.0,176829.0,Quilicura,Girona,3.0,2.0,77.0,114.0,1.0,14867238,Unne,,,,,,,,,,
938054000,26000.0,1143968.0,Las Condes,Altolascondes,9.0,5.0,330.0,924.0,4.0,12150607,Manterola Propiedades.,,,,,,,,,,
649061210,17990.0,791538.0,Vitacura,SportFrances,5.0,4.0,147.0,465.0,5.0,14865341,Unne,,,,,,,,,,
487066500,13500.0,593984.0,Colina,Oportunidadcolegiosananselmo,,,140.0,500.0,,14865287,,,,,,,,,,,
650000000,18016.0,792683.0,Ñuñoa,Ñuñoa,4.0,4.0,211.0,458.0,3.0,14864102,Ckr Propiedades,,,,,,,,,,
96150535,2665.0,117257.0,Cerro Navia,Casaencerronavia,4.0,1.0,117.0,221.0,1.0,14863682,,,,,,,,,,,
468990921,12999.0,571940.0,Colina,Oportunidad:extraordinariacondominio/muchísimosextras,4.0,4.0,170.0,425.0,,14863422,,,,,,,,,,,
73000000,2023.0,89024.0,San Bernardo,SanFrancisco/LoBlanco,5.0,1.0,111.0,114.0,,14862568,Procasa Adrián Ulloa Propiedades,,,,,,,,,,
60000000,1663.0,73171.0,Puente Alto,C.Creta/Sagasca,3.0,1.0,77.0,99.0,,14862554,Procasa Adrián Ulloa Propiedades,,,,,,,,,,
504745210,13990.0,615543.0,Lo Barnechea,Av.LaDehesa/Av.elHuinganal,4.0,4.0,138.0,264.0,2.0,14862098,Viel Propiedades dos Ltda.,,,,,,,,,,
1298844000,36000.0,1583956.0,Lo Barnechea,CaminodelYunque,5.0,4.0,445.0,2112.0,6.0,14861003,Berrios Zegers,,,,,,,,,,
119060700,3300.0,145196.0,San Bernardo,Venta,14.0,4.0,58.0,170.0,,14860624,Brokers Inmobiliarios,,,,,,,,,,
173179200,4800.0,211194.0,Quilicura,AvLasTorresconCaminodelCerro,3.0,2.0,98.0,191.0,1.0,14860245,Unne,,,,,,,,,,
118000000,3271.0,143902.0,Puente Alto,CardenalOviedoconSanCarlos,3.0,2.0,57.0,149.0,2.0,14860201,Unne,,,,,,,,,,
83000000,2301.0,101220.0,Puente Alto,Av.Lasnievesote./av.México,3.0,2.0,50.0,56.0,,14859203,Propiedades Centro Santiago SPA,,,,,,,,,,
160551550,4450.0,195795.0,La Florida,Casade2pisoscon3d+2b+estacionamiento,3.0,2.0,73.0,160.0,,14852298,Corredorpro Spa,,,,,,,,,,
647437655,17945.0,789558.0,Lo Barnechea,ElHuinganal/CaminoColonial,4.0,3.0,222.0,766.0,,14847371,Francisco Vial Propiedades,,,,,,,,,,
847856500,23500.0,1033971.0,Colina,Loarcaya,5.0,6.0,474.0,5062.0,,12150830,Manterola Propiedades.,,,,,,,,,,
826209100,22900.0,1007572.0,Las Condes,CaminoLasFlores,5.0,4.0,280.0,962.0,6.0,12149791,Manterola Propiedades.,,,,,,,,,,
515929700,14300.0,629183.0,Vitacura,ManquehueNorte,4.0,3.0,125.0,304.0,2.0,12150910,Manterola Propiedades.,,,,,,,,,,
321103100,8900.0,391589.0,Providencia,EstacionMetroSalvador,4.0,2.0,184.0,178.0,,12150055,Manterola Propiedades.,,,,,,,,,,
378829500,10500.0,461987.0,San Miguel,Metrodepartamental,5.0,3.0,120.0,430.0,,12149608,Manterola Propiedades.,,,,,,,,,,
609735100,16900.0,743579.0,Las Condes,Delinca/rafaelgumucio,4.0,3.0,130.0,395.0,,14052071,Manterola Propiedades.,,,,,,,,,,
692716800,19200.0,844777.0,Providencia,HotelBoutique.SantaIsabel/Seminario.BarrioItalia.MetrosantaIsabel,7.0,8.0,240.0,280.0,1.0,14799245,ProUrbe Manquehue,,,,,,,,,,
101093358,2802.0,123285.0,Maipú,CiudadSatelite,2.0,1.0,46.0,136.0,2.0,14798765,Unne,,,,,,,,,,
71544657,1983.0,87250.0,Pudahuel,Riogrande,4.0,1.0,60.0,99.0,,14798701,Unne,,,,,,,,,,
302883205,8395.0,369370.0,Ñuñoa,AvSimónBolívar/ManueldeSalas,5.0,3.0,109.0,91.0,1.0,14796282,Luz Godoy Propiedades,,,,,,,,,,
467944630,12970.0,570664.0,Ñuñoa,SuarezMujica/CrescenteErrazuriz,4.0,3.0,178.0,570.0,,14796252,Luz Godoy Propiedades,,,,,,,,,,
793738000,22000.0,967973.0,Maipú,LuisGandarillas,4.0,2.0,1400.0,1400.0,,14794792,Tsi Property,,,,,,,,,,
139000000,3853.0,169512.0,Maipú,SectorBlancoEncaladaconVictoria-Maipu,4.0,3.0,146.0,280.0,3.0,4643030,Silvana Guillen Propiedades,,,,,,,,,,
139900000,3878.0,170610.0,Estación Central,AgustínLópez6048,3.0,1.0,95.0,180.0,3.0,7017533,Silvana Guillen Propiedades,,,,,,,,,,
70786998,1962.0,86326.0,Puente Alto,Av.Eyzaguirre-AV.Juanita-accesosur,5.0,2.0,89.0,80.0,,14789591,Grupo Premium Propiedades Santiago,,,,,,,,,,
541185000,15000.0,659982.0,Vitacura,Tabancura,5.0,2.0,225.0,410.0,2.0,14788870,Berrios Zegers,,,,,,,,,,
110149187,3053.0,134328.0,Lampa,BlancaEstela/LaMontañaSur,3.0,1.0,55.0,130.0,1.0,14787661,Sucursal El Bosque Sur,,,,,,,,,,
447379600,12400.0,545585.0,Ñuñoa,RositaRenard,4.0,2.0,150.0,200.0,2.0,14784796,Easyprop,,,,,,,,,,
106072260,2940.0,129356.0,Quilicura,Lomarcoleta/lobascuñan/loovalle,3.0,1.0,51.0,126.0,1.0,14774677,Mi Llave,,,,,,,,,,
974133000,27000.0,1187967.0,Vitacura,PedrodeVillagra/AlonsodeCordova,5.0,4.0,247.0,612.0,3.0,14773290,Viel Propiedades dos Ltda.,,,,,,,,,,
425732200,11800.0,519186.0,Vitacura,Lobeltran/carmenfariña/buenaventura,4.0,2.0,120.0,253.0,,14771507,,,,,,,,,,,
829817000,23000.0,1011972.0,Lo Barnechea,EnCondominio/CaminoTurístico,4.0,4.0,190.0,296.0,,14751246,Sucursal Cantagallo,,,,,,,,,,
378829500,10500.0,461987.0,Providencia,JoelRodríguez-JoséManuelInfante,3.0,3.0,142.0,141.0,,14751169,Viel Propiedades dos Ltda.,,,,,,,,,,
811777500,22500.0,989973.0,Santiago,CondominioLosQuillayes,6.0,4.0,290.0,7000.0,5.0,14750486,Scott  Propiedades,,,,,,,,,,
115000000,3187.0,140244.0,Macul,Casaesquinacon2°Piso.LasTorresdeMacul,5.0,2.0,155.0,210.0,,14745443,Corretajes Prosal,,,,,,,,,,
92500000,2564.0,112805.0,Cerrillos,Casa2Pisosenexcelenteubicación,3.0,2.0,90.0,122.0,1.0,14745449,Corretajes Prosal,,,,,,,,,,
112500000,3118.0,137195.0,Cerro Navia,Casade1PisoenJoséJoaquínPérez,4.0,2.0,163.0,240.0,1.0,14745429,Corretajes Prosal,,,,,,,,,,
297651750,8250.0,362990.0,Colina,Ayresdechicureo,3.0,3.0,104.0,284.0,2.0,14733671,Unne,,,,,,,,,,
1046327079,29001.0,1276009.0,Lo Barnechea,Losnogales,5.0,5.0,300.0,790.0,5.0,14732414,Unne,,,,,,,,,,
649422000,18000.0,791978.0,Las Condes,ZanzibarOriente,3.0,3.0,176.0,300.0,2.0,14725745,Cruz Balmaceda,,,,,,,,,,
667461500,18500.0,813977.0,Las Condes,CerroPinto,4.0,3.0,170.0,380.0,2.0,14700346,Berrios Zegers,,,,,,,,,,
63000000,1746.0,76829.0,San Bernardo,SantaMartaconSanFrancisco,6.0,2.0,80.0,100.0,1.0,14695121,Unne,,,,,,,,,,
85000000,2356.0,103659.0,Puente Alto,JuanitaconAccesoSur,4.0,1.0,60.0,75.0,1.0,14695104,Unne,,,,,,,,,,
130500000,3617.0,159146.0,Buin,CaleteraOriente5Sur/VillasecaOriente,5.0,3.0,126.0,132.0,,14684554,Propiedades Centro Santiago SPA,,,,,,,,,,
321103100,8900.0,391589.0,Padre Hurtado,AvLaLaguna/CondominioLasRocas,4.0,6.0,199.0,354.0,3.0,14667222,Vivaqui Propiedades,,,,,,,,,,
342750500,9500.0,417988.0,Colina,BarrioLaguna,4.0,4.0,150.0,400.0,3.0,14661714,Tsi Property,,,,,,,,,,
649422000,18000.0,791978.0,Las Condes,PaulHarris/EstadioSanJorge,5.0,4.0,167.0,223.0,,14661604,Viel Propiedades dos Ltda.,,,,,,,,,,
161633920,4480.0,197115.0,San Miguel,Intersecciónconcalleesmeralda,4.0,2.0,145.0,294.0,,14661180,Brokers Inmobiliarios,,,,,,,,,,
458203300,12700.0,558785.0,La Reina,EntrePrencipedeGalesyPadreHurtado,3.0,3.0,132.0,323.0,3.0,14654289,Mi Llave,,,,,,,,,,
92000000,2550.0,112195.0,Renca,Acogedoracasade3dormitorios2bañosenRenca,3.0,1.0,50.0,112.0,,14609691,Unne,,,,,,,,,,
198434500,5500.0,241993.0,Huechuraba,Hermosayacogedoracasaencondominiohuechuraba3/3,3.0,3.0,90.0,120.0,2.0,14607427,Brokers Inmobiliarios,,,,,,,,,,
360429210,9990.0,439548.0,La Florida,Altomacul,4.0,3.0,130.0,351.0,2.0,14607214,Unne,,,,,,,,,,
247141150,6850.0,301392.0,Huechuraba,SantaMarta6850,4.0,4.0,157.0,235.0,2.0,14604216,Nexxos,,,,,,,,,,
721580000,20000.0,879976.0,Las Condes,HermanosCabot,4.0,3.0,224.0,459.0,2.0,14603814,Berrios Zegers,,,,,,,,,,
133000000,3686.0,162195.0,Maipú,Plazacactus,4.0,2.0,77.0,128.0,1.0,14602310,,,,,,,,,,,
306671500,8500.0,373990.0,La Florida,JardinesdeLaViña,3.0,3.0,127.0,287.0,3.0,14601808,Nexxos,,,,,,,,,,
497890200,13800.0,607183.0,Colina,CondominioLosCandiles1500PiedraRojaChicureo,4.0,3.0,163.0,527.0,4.0,14600279,Nexxos,,,,,,,,,,
206000000,5710.0,251220.0,San Bernardo,Balmaceda,5.0,2.0,180.0,290.0,,14600185,Easyprop,,,,,,,,,,
145000000,4019.0,176829.0,Maipú,avenidaelrosal,5.0,3.0,103.0,120.0,2.0,14598724,Grupo Premium Propiedades Santiago,,,,,,,,,,
115000000,3187.0,140244.0,Cerro Navia,avenidalastorres-,3.0,2.0,121.0,184.0,1.0,14598670,Grupo Premium Propiedades Santiago,,,,,,,,,,
76054532,2108.0,92749.0,Paine,Paine,4.0,,,,,14598446,Grupo Premium Propiedades Santiago,,,,,,,,,,
430602865,11935.0,525125.0,Providencia,Lota200,4.0,3.0,108.0,209.0,1.0,14597644,RUKAM SPA,,,,,,,,,,
290977135,8065.0,354850.0,Pudahuel,4d,4.0,3.0,107.0,228.0,,14597578,,,,,,,,,,,
1515318000,42000.0,1847949.0,Vitacura,Espectacularcasaencondominiosantamariamanquehue,5.0,4.0,300.0,700.0,2.0,14596589,Lyon y Balmaceda Ltda.,,,,,,,,,,
2705925000,75000.0,3299909.0,Vitacura,Santamariamanquehue,6.0,5.0,1000.0,5600.0,8.0,12227965,OSSANDON CORREDORES ASOCIADOS S.A.,,,,,,,,,,
487066500,13500.0,593984.0,Ñuñoa,AlcaldeEduardoCastilloVelasco2943,5.0,4.0,250.0,504.0,6.0,14595670,Propiedades y Servicios en Concreto,,,,,,,,,,
86589600,2400.0,105597.0,Cerro Navia,Av.TenienteCruz/Dubroknik,3.0,1.0,70.0,160.0,2.0,14593881,ProUrbe Manquehue,,,,,,,,,,
62500000,1732.0,76220.0,Pudahuel,CalleLebreles,2.0,1.0,44.0,58.0,,8732798,Unne,,,,,,,,,,
220803480,6120.0,269273.0,Santiago,Lira1404,5.0,2.0,160.0,203.0,,14590134,RUKAM SPA,,,,,,,,,,
938054000,26000.0,1143968.0,Lo Barnechea,CaminoLosTrapenses/Everest/MonteTabor,5.0,4.0,300.0,600.0,2.0,14590071,Nexxos,,,,,,,,,,
504745210,13990.0,615543.0,Vitacura,FernandodeArguello//LasHualtatas//ElDorado,4.0,3.0,130.0,272.0,3.0,14589906,Easyprop,,,,,,,,,,
450987500,12500.0,549985.0,Huechuraba,Elroble,5.0,5.0,180.0,600.0,4.0,14589424,Unne,,,,,,,,,,
530361300,14700.0,646782.0,Lo Barnechea,Jumboav.Ladehesa,5.0,4.0,140.0,321.0,2.0,12229103,OSSANDON CORREDORES ASOCIADOS S.A.,,,,,,,,,,
84000000,2328.0,102439.0,Maipú,Avenida4Poniente,4.0,1.0,,,2.0,10002742,Paula Vivanco Arenas,,,,,,,,,,
526031820,14580.0,641502.0,Colina,Piedraroja,5.0,4.0,180.0,560.0,2.0,12228164,OSSANDON CORREDORES ASOCIADOS S.A.,,,,,,,,,,
1041600730,28870.0,1270245.0,Lo Barnechea,Caminodemichai,5.0,4.0,369.0,2080.0,8.0,12229063,OSSANDON CORREDORES ASOCIADOS S.A.,,,,,,,,,,
1407081000,39000.0,1715952.0,Lo Barnechea,Av.Ladehesa,6.0,5.0,380.0,1230.0,5.0,12228020,OSSANDON CORREDORES ASOCIADOS S.A.,,,,,,,,,,
793738000,22000.0,967973.0,Peñalolén,Laspircas,4.0,4.0,400.0,1861.0,3.0,12228070,OSSANDON CORREDORES ASOCIADOS S.A.,,,,,,,,,,
140000000,3880.0,170732.0,Renca,Casaesquinacon2°PisoenHuamachuco1,4.0,3.0,196.0,204.0,1.0,14559736,Corretajes Prosal,,,,,,,,,,
170000000,4712.0,207317.0,Lo Prado,laspetuniasconsanpablo,3.0,,62.0,160.0,1.0,14558738,Easyprop,,,,,,,,,,
645814100,17900.0,787578.0,Las Condes,Vaticano,3.0,2.0,167.0,10.0,2.0,14557277,Unne,,,,,,,,,,
1082370000,30000.0,1319963.0,Colina,lasbrisasdeChicureo11000,3.0,4.0,400.0,3850.0,9.0,14555244,Nexxos,,,,,,,,,,
221885850,6150.0,270592.0,Pudahuel,Sevendecasa3d,3.0,3.0,128.0,169.0,,14553207,,,,,,,,,,,
1334562210,36990.0,1627515.0,Colina,Condominiolahacienda,6.0,5.0,516.0,2295.0,11.0,11089340,Nexxos,,,,,,,,,,
122000000,3381.0,148780.0,Maipú,Elabrazo,3.0,3.0,79.0,105.0,,14521294,,,,,,,,,,,
115000000,3187.0,140244.0,Puente Alto,Avdaelpeñon-avda.Gabriela,4.0,2.0,66.0,158.0,,14521292,,,,,,,,,,,
432948000,12000.0,527985.0,La Reina,Avenidaecheñiquemetrosimonbolivar,3.0,2.0,140.0,320.0,,14521092,,,,,,,,,,,
793738000,22000.0,967973.0,Alhué,Lagorapel,6.0,5.0,320.0,1000.0,,14521082,,,,,,,,,,,
685501000,19000.0,835977.0,Las Condes,Tomasmoroalonsodecamargo,5.0,5.0,230.0,370.0,,14521056,,,,,,,,,,,
134213880,3720.0,163675.0,Maipú,Casa5dormitoriosy2bañosensectorresidencialdemaipú,5.0,2.0,107.0,140.0,1.0,14520854,,,,,,,,,,,
248945100,6900.0,303592.0,Recoleta,Taller-arte-gym-delivery-barriobellavista,,3.0,126.0,205.0,,14520824,,,,,,,,,,,
331926800,9200.0,404789.0,Peñaflor,Condominioelalmedral,6.0,4.0,382.0,3100.0,,14520794,,,,,,,,,,,
162355500,4500.0,197995.0,Peñaflor,Caminolaspalmeras/balmaceda,3.0,2.0,110.0,266.0,,14520784,,,,,,,,,,,
487066500,13500.0,593984.0,Peñaflor,Catemito,4.0,3.0,240.0,5000.0,,14520782,,,,,,,,,,,
469027000,13000.0,571984.0,Providencia,Elecierparada,4.0,2.0,140.0,321.0,,14520379,,,,,,,,,,,
400000000,11087.0,487805.0,Vitacura,Lashualtatas,3.0,2.0,100.0,250.0,,14520361,,,,,,,,,,,
829817000,23000.0,1011972.0,Providencia,Plazalaslilas,3.0,1.0,150.0,316.0,1.0,14520331,,,,,,,,,,,
660245700,18300.0,805178.0,Vitacura,Loarcaya,3.0,2.0,140.0,365.0,,14520295,,,,,,,,,,,
252553000,7000.0,307991.0,Huechuraba,Huechuraba,4.0,3.0,120.0,210.0,,14520285,,,,,,,,,,,
92000000,2550.0,112195.0,Maipú,Eucaliptus3#1374ciudadsatelite,2.0,2.0,100.0,146.0,1.0,14520130,,,,,,,,,,,
230000000,6375.0,280488.0,Quinta Normal,Sanpablo/autopistageneralvelasquez,5.0,1.0,270.0,270.0,,14519997,,,,,,,,,,,
400476900,11100.0,488386.0,Las Condes,Unaislaenlascondes,3.0,2.0,100.0,295.0,1.0,14519923,,,,,,,,,,,
95000000,2633.0,115854.0,Maipú,Calleelolimpoconasunción,6.0,2.0,95.0,110.0,,14519919,,,,,,,,,,,
487066500,13500.0,593984.0,Peñalolén,Comunidadecológicapeñalolén,4.0,2.0,240.0,1000.0,,14519911,,,,,,,,,,,
85038203,2357.0,103705.0,Maipú,Vendecasapjefilipo,4.0,3.0,105.0,75.0,,14519867,,,,,,,,,,,
63030013,1747.0,76866.0,Santiago,Vendecasaencité,1.0,1.0,40.0,56.0,,14519865,,,,,,,,,,,
107371104,2976.0,130940.0,Quinta Normal,Vendecasaquintanormaloportunidadinversionistas,6.0,2.0,112.0,176.0,,14519863,,,,,,,,,,,
87130785,2415.0,106257.0,Maipú,Vendecasasectorlumenmaipu,3.0,1.0,104.0,128.0,1.0,14519859,,,,,,,,,,,
234513500,6500.0,285992.0,Recoleta,Vendecasasolida,4.0,1.0,100.0,176.0,,14519857,,,,,,,,,,,
90161421,2499.0,109953.0,Maipú,Vendecasasectoreldescanso,3.0,1.0,64.0,82.0,1.0,14519849,,,,,,,,,,,
132554246,3674.0,161652.0,Maipú,Vendecasapjcerradoquebradahondaconlasnaciones,3.0,2.0,59.0,134.0,1.0,14519845,,,,,,,,,,,
137100200,3800.0,167195.0,Maipú,Vendecasaconstantinoplaconav.4poniente,3.0,3.0,79.0,118.0,,14519843,,,,,,,,,,,
140419468,3892.0,171243.0,Maipú,Vendecasapjecerradoparquelofranco,3.0,2.0,80.0,125.0,1.0,14519841,,,,,,,,,,,
115452800,3200.0,140796.0,Maipú,Vendecasacercademallaraucomaipu,4.0,2.0,126.0,96.0,1.0,14519837,,,,,,,,,,,
